incident_id,scraped_at_utc,orgao,data,hora,cidade,tipo,detalhe,local,viaturas,militares
226c83cf7a12b537,2026-07-15T08:37:52Z,CBM,2026-07-14,09:18:47,MARAGOGI,INCÊNDIO,Diversos - Outros Incêndios,"MARAGOGI, MARAGOGI-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
27dc3fedd5c1db0a,2026-07-15T08:37:52Z,CBM,2026-07-14,14:49:56,DELMIRO GOUVEIA,INCÊNDIO,Edificação - Comercial,"DELMIRO GOUVEIA, DELMIRO GOUVEIA-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
8c37fe4b59831f99,2026-07-15T19:38:36Z,CBM,2026-07-15,00:34:10,MACEIÓ,INCÊNDIO,Diversos - Outros Incêndios,"RUA NOSSA SENHORA DA CONCEIÇÃO, MACEIÓ-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
0ac37a7babe0953d,2026-07-16T14:26:14Z,CBM,2026-07-15,13:59:36,MACEIÓ,INCÊNDIO,Edificação - Residencial,"RECANTO DAS ESTRELAS, CASA 455, MACEIÓ-AL",3 VIATURAS EMPREGADAS.,10 MILITARES EMPREGADOS.
59c4f27949c28879,2026-07-16T14:26:14Z,CBM,2026-07-15,20:28:29,ARAPIRACA,INCÊNDIO,Diversos - Outros Incêndios,"RUA PEDRO PEDROSA, ARAPIRACA-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
4e287975c9a0aae8,2026-07-16T14:26:14Z,CBM,2026-07-15,23:27:18,MACEIÓ,INCÊNDIO,Diversos - Outros Incêndios,"AVENIDA JOSÉ AÍRTON GONDIM LAMENHA, MACEIÓ-AL",1 VIATURAS EMPREGADAS.,4 MILITARES EMPREGADOS.
a598248a8016ac97,2026-07-16T14:26:14Z,CBM,2026-07-16,04:17:52,BATALHA,INCÊNDIO,Diversos - Outros Incêndios,"BAIRRO SÃO PEDRO AV GOV AFRANIO LAGES, BATALHA-AL",3 VIATURAS EMPREGADAS.,11 MILITARES EMPREGADOS.
c84380988ec70b72,2026-07-16T14:26:14Z,CBM,2026-07-16,07:28:17,RIO LARGO,INCÊNDIO,Diversos - Sistemas de energia renovável,"PRAÇA PADRE CÍCERO, RIO LARGO-AL",1 VIATURAS EMPREGADAS.,7 MILITARES EMPREGADOS.
2d267d195b0aa000,2026-07-18T03:36:55Z,CBMAL,2026-07-17,05:03:19,MACEIÓ,INCÊNDIO,Vegetação - Outras vegetações,"RUA DONA AFRA CAMELO, MACEIÓ-AL",0 VIATURAS EMPREGADAS.,0 MILITARES EMPREGADOS.
dbcb9e8b60e76707,2026-07-18T08:11:09Z,CBMAL,2026-07-17,06:16:04,CAPELA,INCÊNDIO,Diversos - Outros Incêndios,"RUA DO ALTO, CAPELA-AL",0 VIATURAS EMPREGADAS.,0 MILITARES EMPREGADOS.
be92fb07df44ba8f,2026-07-18T13:52:46Z,CBM,2026-07-17,16:17:28,ARAPIRACA,INCÊNDIO,Edificação - Residencial,"RUA JOÃO JORGE, 57, ARAPIRACA-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
98a5c5e9cf9528f8,2026-07-18T13:52:46Z,CBM,2026-07-17,23:10:03,MACEIÓ,INCÊNDIO,Meio de Transporte - Veículo de passeio,"EDIFÍCIO VIVARAR. SEN. RUI PALMEIRA, 215 , MACEIÓ-AL",4 VIATURAS EMPREGADAS.,14 MILITARES EMPREGADOS.
3ec0e582aa3ae709,2026-07-19T03:58:57Z,CBM,2026-07-18,09:54:01,MACEIÓ,INCÊNDIO,Edificação - Residencial,"AVENIDA DOUTOR MÁRIO NUNES VIEIRA, MACEIÓ-AL",4 VIATURAS EMPREGADAS.,14 MILITARES EMPREGADOS.
f240bc6ccc272da7,2026-07-19T03:58:57Z,CBMAL,2026-07-18,22:10:51,ARAPIRACA,INCÊNDIO,Edificação - Residencial,"RUA FERNANDES LIMA, 19, ARAPIRACA-AL",0 VIATURAS EMPREGADAS.,0 MILITARES EMPREGADOS.
a59db2f09f590a4e,2026-07-21T08:48:33Z,CBM,2026-07-20,10:34:43,MARECHAL DEODORO,INCÊNDIO,Edificação - Comercial,"AVENIDA VERDES MARES, MARECHAL DEODORO-AL",0 VIATURAS EMPREGADAS.,4 MILITARES EMPREGADOS.
600c2e1d34eeb05d,2026-07-21T14:26:31Z,CBMAL,2026-07-20,13:26:03,MACEIÓ,INCÊNDIO,Diversos - Outros Incêndios,"CONJUNTO EUSTÁQUIO GOMES, RUA EXPEDITO VITOR FERREIRA, MACEIÓ-AL",0 VIATURAS EMPREGADAS.,0 MILITARES EMPREGADOS.
d25b15fc586a8257,2026-07-21T19:54:27Z,CBM,2026-07-20,18:18:31,TANQUE D'ARCA,INCÊNDIO,Meio de Transporte - Outro / Veículo,"MARGENS DA RODOVIA AL-110 TREVO DE ACESSO À VILA APARECIDA SOLICITANTE - COPOM PMA, TANQUE D'ARCA-AL",1 VIATURAS EMPREGADAS.,5 MILITARES EMPREGADOS.
7ccaccb9d1036201,2026-07-21T19:54:27Z,CBMAL,2026-07-21,01:50:52,RIO LARGO,INCÊNDIO,Diversos - Outros Incêndios,"AVENIDA NAPOLEÃO VIANA, RIO LARGO-AL",0 VIATURAS EMPREGADAS.,0 MILITARES EMPREGADOS.
d300b183439c5ff7,2026-07-21T19:54:27Z,CBM,2026-07-21,02:38:40,MACEIÓ,INCÊNDIO,Diversos - Outros Incêndios,"CJ. GURIATÃ, QD B-5, Nº 15, MACEIÓ-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
04a908e4fc1ae8b5,2026-07-22T08:47:11Z,CBM,2026-07-21,06:04:10,ROTEIRO,INCÊNDIO,Meio de Transporte - Veículo de Carga,"BR 349, ROTEIRO-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
56462c509ab94522,2026-07-22T08:47:11Z,CBMAL,2026-07-21,06:26:21,MACEIÓ,INCÊNDIO,Diversos - Outros Incêndios,"CONJ DOS TAXISTAS, QUADRA 3, MACEIÓ-AL",0 VIATURAS EMPREGADAS.,0 MILITARES EMPREGADOS.
73cc128dec208433,2026-07-22T08:47:11Z,CBMAL,2026-07-21,11:05:43,MACEIÓ,INCÊNDIO,Diversos - Outros Incêndios,"RUA C 14, N° 105, MACEIÓ-AL",0 VIATURAS EMPREGADAS.,0 MILITARES EMPREGADOS.
a6a322196ae5ea34,2026-07-22T14:26:59Z,CBM E SAMU,2026-07-21,14:45:58,MACEIÓ,INCÊNDIO,Edificação - Residencial,"RUA AURELIANO DUARTE, MACEIÓ-AL",2 VIATURAS EMPREGADAS.,9 MILITARES EMPREGADOS.
8cd12dcc4e66dfa4,2026-07-22T19:51:57Z,CBM,2026-07-21,19:04:43,MACEIÓ,INCÊNDIO,Edificação - Residencial,"RUA HÉLIO PRADINES, N200, MACEIÓ-AL",3 VIATURAS EMPREGADAS.,8 MILITARES EMPREGADOS.
1b302971dcc32369,2026-07-22T19:51:57Z,CBM,2026-07-21,23:12:09,MACEIÓ,INCÊNDIO,Edificação - Comercial,"AVENIDA DOUTOR FERNANDO DO COUTO MALTA, MACEIÓ-AL",3 VIATURAS EMPREGADAS.,10 MILITARES EMPREGADOS.
50851abd3dcc4e91,2026-07-23T08:46:42Z,CBM,2026-07-22,06:57:26,MACEIÓ,INCÊNDIO,Diversos - Outros Incêndios,"AV BENEDITO CALACA LOUREIRO, MACEIÓ-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
309829a6f420d9de,2026-07-23T08:46:42Z,CBM,2026-07-22,12:44:47,SANTANA DO IPANEMA,INCÊNDIO,Edificação - Órgão Público,"CREAS GILDETE DE OLIVEIRA BARROS - BAIRRO: FLORESTA, SANTANA DO IPANEMA-AL",2 VIATURAS EMPREGADAS.,7 MILITARES EMPREGADOS.
464c664ac8e0db5a,2026-07-23T08:46:42Z,CBM,2026-07-22,13:27:15,RIO LARGO,INCÊNDIO,Vegetação - Canavial,"RODOVIA BR-104, RIO LARGO-AL",1 VIATURAS EMPREGADAS.,3 MILITARES EMPREGADOS.
38b017afeb1669bd,2026-07-23T08:46:42Z,CBM,2026-07-23,02:11:56,MACEIÓ,INCÊNDIO,Diversos - Outros Incêndios,"CJ. SANTO ONOFRE, RUA A, MACEIÓ-AL",2 VIATURAS EMPREGADAS.,7 MILITARES EMPREGADOS.
